"filename", "language", "JavaScript", "Python", "Markdown", "CSS", "SQL", "pip requirements", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\app.py", "Python", 0, 26, 0, 0, 0, 0, 2, 6, 34
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\member.py", "Python", 0, 62, 0, 0, 0, 0, 0, 4, 66
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\merchant_file.py", "Python", 0, 87, 0, 0, 0, 0, 0, 3, 90
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\store.py", "Python", 0, 34, 0, 0, 0, 0, 0, 2, 36
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\data\data.sql", "SQL", 0, 0, 0, 0, 103, 0, 30, 20, 153
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\database.py", "Python", 0, 25, 0, 0, 0, 0, 10, 3, 38
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\jsonify.py", "Python", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\saveToS3.py", "Python", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\token.py", "Python", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 69, 0, 0, 69
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\base.css", "CSS", 0, 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\index.css", "CSS", 0, 0, 0, 178, 0, 0, 0, 1, 179
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\item.css", "CSS", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\merchantfile.css", "CSS", 0, 0, 0, 248, 0, 0, 0, 7, 255
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", 0, 0, 0, 107, 0, 0, 0, 1, 108
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\text.css", "CSS", 0, 0, 0, 52, 0, 0, 0, 0, 52
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\confirmMember.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\fetchInfo.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberData.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\merchantFile.js", "JavaScript", 115, 0, 0, 0, 0, 0, 2, 5, 122
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\maps.js", "JavaScript", 54, 0, 0, 0, 0, 0, 3, 10, 67
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\member.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\menu.js", "JavaScript", 57, 0, 0, 0, 0, 0, 137, 3, 197
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\store.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 7, 76
"Total", "-", 431, 258, 3, 689, 103, 69, 184, 93, 1830
